,id,title,release_date,popularity,vote_average,vote_count
323,242828,When Marnie Was There,2014-07-19,32.36,8.0,1400
324,770,Gone with the Wind,1939-12-15,18.401,8.0,3274
325,360814,Dangal,2016-12-21,12.433,8.0,697
326,213,North by Northwest,1959-07-08,15.947,8.0,3236
327,3175,Barry Lyndon,1975-11-26,11.699,8.0,2205
328,527774,Raya and the Last Dragon,2021-03-03,190.91,8.0,5321
329,359724,Ford v Ferrari,2019-11-13,59.157,8.0,5737
330,11712,Sanjuro,1962-01-01,7.775,8.0,424
331,29264,The Exterminating Angel,1962-05-16,7.482,8.0,502
332,7508,Like Stars on Earth,2007-12-21,13.759,8.0,839
333,458302,Remi  Nobody's Boy,2018-12-12,7.944,8.0,340
334,1578,Raging Bull,1980-11-14,14.325,8.0,3350
335,1580,Rope,1948-03-11,9.482,8.0,2049
336,523781,Words on Bathroom Walls,2020-08-21,13.196,8.0,414
337,20875,Operation Y and Other Shurik's Adventures,1965-08-16,13.244,8.0,201
338,1092,The Third Man,1949-08-31,11.944,8.0,1376
339,560066,Scooby-Doo! and the Curse of the 13th Ghost,2019-02-05,16.318,8.0,205
340,18438,Castaway on the Moon,2009-05-14,12.044,8.0,520
341,142061,Batman: The Dark Knight Returns  Part 2,2013-01-03,22.008,8.0,1136
342,94047,My Way,2011-12-21,9.875,8.0,287
343,10238,Cries and Whispers,1972-12-21,6.55,8.0,528
344,28971,Limelight,1952-10-23,5.887,8.0,369
345,594634,Close to the Horizon,2019-10-10,15.765,8.0,371
346,530915,1917,2019-12-25,34.631,8.0,9749
347,455714,Bad Genius,2017-05-03,18.928,8.0,623
348,20453,3 Idiots,2009-12-23,35.856,8.0,1843
349,627,Trainspotting,1996-02-23,19.743,8.0,8177
350,556901,Teen Titans Go! vs. Teen Titans,2019-07-21,28.934,8.0,377
351,20271,Divorce Italian Style,1961-12-20,6.028,8.0,334
352,10515,Castle in the Sky,1986-08-02,30.304,8.0,3173
353,588228,The Tomorrow War,2021-07-02,212.166,8.0,5440
354,947,Lawrence of Arabia,1962-12-11,22.899,8.0,2307
355,38286,Three Men and a Leg,1997-12-27,6.324,8.0,1834
356,405,La Strada,1954-09-23,10.22,8.0,789
357,15383,Army of Shadows,1969-09-10,7.736,8.0,466
358,779047,Us Again,2021-03-03,7.193,8.0,230
359,31411,The Cameraman,1928-09-10,6.408,8.0,262
360,110,Three Colors: Red,1994-05-27,11.056,8.0,1010
361,24,Kill Bill: Vol. 1,2003-10-10,28.252,8.0,14622
362,505262,My Hero Academia: Two Heroes,2018-08-03,145.662,8.0,762
363,70,Million Dollar Baby,2004-12-15,19.464,8.0,7955
364,17295,The Battle of Algiers,1966-09-08,8.914,8.0,525
365,10242,What Ever Happened to Baby Jane?,1962-10-12,7.926,8.0,786
366,149,Akira,1988-07-16,35.374,8.0,3092
367,414419,Kill Bill: The Whole Bloody Affair,2011-03-27,16.642,8.0,752
368,775,A Trip to the Moon,1902-04-17,9.946,8.0,1315
369,234,The Cabinet of Dr. Caligari,1920-02-27,12.419,8.0,1116
370,160885,Tel chi el telùn,1999-05-12,5.553,8.0,294
371,862,Toy Story,1995-10-30,168.668,8.0,15396
372,3777,Throne of Blood,1957-01-15,9.603,8.0,589
373,21334,Children of Heaven,1997-08-01,19.251,8.0,448
374,522212,Just Mercy,2019-12-25,11.729,8.0,1714
375,76,Before Sunrise,1995-01-27,12.127,8.0,3158
376,20722,La Maison en Petits Cubes,2008-06-10,6.551,8.0,364
377,7857,Amarcord,1973-12-13,6.97,8.0,845
